registro_id,fecha,proveedor,categoria,importe,moneda,vencimiento,pago
FIN055-000328,2024-06-26,P02,alquiler,8185.34,PEN,2024-07-26,
FIN055-000329,2024-06-26,P05,alquiler,947.39,PEN,2024-08-10,
FIN055-000330,2024-06-27,P04,material,872.52,USD,2024-07-12,2024-07-23
FIN055-000331,2024-06-27,P09,material,187.36,PEN,2024-07-27,2024-08-06
FIN055-000332,2024-06-28,P05,servicio,823.56,PEN,2024-07-13,2024-08-04
FIN055-000333,2024-06-28,P04,servicio,,PEN,2024-08-12,2024-09-03
FIN055-000334,2024-06-29,P04,alquiler,1156.67,PEN,2024-07-14,2024-07-02
FIN055-000335,2024-06-29,P01,alquiler,355.54,PEN,2024-07-14,
FIN055-000336,2024-06-30,P03,alquiler,686.78,PEN,2024-08-14,
FIN055-000337,2024-06-30,P05,material,785.89,USD,2024-08-14,
FIN055-000338,2024-07-01,P10,servicio,660.86,USD,2024-08-15,2024-09-18
FIN055-000339,2024-07-02,P11,alquiler,3439.45,USD,2024-08-01,
FIN055-000340,2024-07-02,P06,material,118.84,PEN,2024-08-01,2024-09-05
FIN055-000341,2024-07-03,P08,material,878.3,PEN,2024-07-18,2024-08-16
FIN055-000342,2024-07-03,P01,alquiler,6220.97,PEN,2024-07-18,2024-08-03
FIN055-000343,2024-07-04,P01,servicio,653.1,PEN,2024-08-03,
FIN055-000344,2024-07-04,P04,servicio,304.22,PEN,2024-08-18,2024-09-04
FIN055-000345,2024-07-05,P08,servicio,594.78,PEN,2024-08-19,2024-09-03
FIN055-000346,2024-07-05,P10,material,649.08,PEN,2024-08-04,2024-08-21
FIN055-000347,2024-07-06,P02,servicio,452.89,USD,2024-08-05,
FIN055-000348,2024-07-06,P12,alquiler,6654.94,PEN,2024-07-21,2024-08-14
FIN055-000349,2024-07-07,P05,alquiler,548.32,USD,2024-08-06,2024-09-10
FIN055-000350,2024-07-07,P09,alquiler,6437.46,USD,2024-07-22,2024-08-05
FIN055-000351,2024-07-08,P11,alquiler,440.61,PEN,2024-08-07,2024-09-07
FIN055-000352,2024-07-09,P10,alquiler,152.99,PEN,2024-07-24,2024-07-26
FIN055-000353,2024-07-09,P07,servicio,202.77,USD,2024-08-23,2024-09-16
FIN055-000354,2024-07-10,P04,alquiler,601.52,PEN,2024-08-24,2024-08-20
FIN055-000355,2024-07-10,P04,servicio,295.43,USD,2024-07-25,
FIN055-000356,2024-07-11,P04,alquiler,537.03,PEN,2024-07-26,2024-08-08
FIN055-000357,2024-07-11,P06,alquiler,704.28,USD,2024-08-25,2024-09-03
FIN055-000358,2024-07-12,P06,servicio,437.59,PEN,2024-07-27,2024-08-29
FIN055-000359,2024-07-12,P02,material,851.39,PEN,2024-08-11,2024-08-09
FIN055-000360,2024-07-13,P02,alquiler,741.77,USD,2024-08-12,2024-08-20
FIN055-000361,2024-07-13,P07,alquiler,213.9,USD,2024-08-27,2024-08-22
FIN055-000362,2024-07-14,P02,material,129.71,USD,2024-08-28,
FIN055-000363,2024-07-15,P02,servicio,815.57,PEN,2024-07-30,2024-08-08
FIN055-000364,2024-07-15,P01,servicio,2013.63,USD,2024-08-14,
FIN055-000365,2024-07-16,P12,material,304.09,USD,2024-07-31,2024-08-16
FIN055-000366,2024-07-16,P10,alquiler,1004.97,USD,2024-08-15,2024-08-26
FIN055-000367,2024-07-17,P10,servicio,220.59,PEN,2024-08-01,
FIN055-000368,2024-07-17,P11,servicio,258.85,PEN,2024-08-01,2024-07-24
FIN055-000369,2024-07-18,P01,material,3633.57,PEN,2024-09-01,
FIN055-000370,2024-07-18,P03,servicio,628.85,PEN,2024-09-01,2024-08-26
FIN055-000371,2024-07-19,P05,servicio,969.81,PEN,2024-08-03,2024-08-27
FIN055-000372,2024-07-19,P08,alquiler,431.07,USD,2024-08-03,2024-08-25
FIN055-000373,2024-07-20,P12,alquiler,2288.76,PEN,2024-08-04,
FIN055-000374,2024-07-20,P06,alquiler,3231.75,PEN,2024-09-03,
FIN055-000375,2024-07-21,P11,material,3309.73,PEN,2024-08-05,2024-07-25
FIN055-000376,2024-07-22,P03,servicio,1801.61,PEN,2024-08-06,2024-08-02
FIN055-000377,2024-07-22,P11,material,674.52,PEN,2024-09-05,2024-09-19
FIN055-000378,2024-07-23,P04,material,147.08,PEN,2024-08-22,2024-08-14
FIN055-000379,2024-07-23,P10,material,2987.56,PEN,2024-08-22,2024-09-09
FIN055-000380,2024-07-24,P06,alquiler,3739.41,PEN,2024-09-07,2024-09-03
FIN055-000381,2024-07-24,P02,alquiler,505.85,PEN,2024-09-07,2024-08-29
FIN055-000382,2024-07-25,P02,alquiler,680.47,PEN,2024-08-24,
FIN055-000383,2024-07-25,P10,alquiler,1310.47,PEN,2024-08-09,2024-08-03
FIN055-000384,2024-07-26,P08,servicio,308.27,USD,2024-08-25,2024-08-16
FIN055-000385,2024-07-26,P06,material,1168.66,PEN,2024-08-25,2024-08-18
FIN055-000386,2024-07-27,P11,servicio,746.59,PEN,2024-08-11,2024-09-12
FIN055-000387,2024-07-28,P11,alquiler,2306.95,PEN,2024-08-27,2024-08-31
FIN055-000388,2024-07-28,P08,material,986.72,USD,2024-08-27,2024-10-01
FIN055-000389,2024-07-29,P08, MATERIAL ,415.29,PEN,2024-09-12,2024-10-05
FIN055-000390,2024-07-29,P11,servicio,600.17,PEN,2024-08-28,2024-09-14
FIN055-000391,2024-07-30,P09,material,417.13,PEN,2024-08-29,2024-08-23
FIN055-000392,2024-07-30,P12,alquiler,3310.12,PEN,2024-08-29,2024-09-28
FIN055-000393,2024-07-31,P11,servicio,118.47,PEN,2024-08-30,2024-09-17
FIN055-000394,2024-07-31,P01,alquiler,238.14,PEN,2024-08-15,2024-08-26
FIN055-000395,2024-08-01,P11,alquiler,389.8,PEN,2024-08-16,2024-08-19
FIN055-000396,2024-08-01,P05,material,457.33,PEN,2024-09-15,
FIN055-000397,2024-08-02,P08,material,359.98,USD,2024-08-17,2024-08-20
FIN055-000398,2024-08-02,P06,servicio,255.8,USD,2024-09-01,2024-08-26
FIN055-000399,2024-08-03,P01,alquiler,1343.72,PEN,2024-08-18,2024-08-17
FIN055-000400,2024-08-04,P04,alquiler,328.73,PEN,2024-09-18,2024-10-21
FIN055-000401,2024-08-04,P04,material,1344.58,USD,2024-09-03,2024-09-29
FIN055-000402,2024-08-05,P07,material,330.26,PEN,2024-08-20,
FIN055-000403,2024-08-05,P05,servicio,1446.96,USD,2024-09-04,2024-09-28
FIN055-000404,2024-08-06,P02,material,148.41,USD,2024-08-21,2024-08-20
FIN055-000405,2024-08-06,P07,servicio,286.41,PEN,2024-09-20,2024-10-20
FIN055-000406,2024-08-07,P10,material,386.01,PEN,2024-08-22,2024-08-10
FIN055-000407,2024-08-07,P03,servicio,171.3,USD,2024-09-06,2024-08-26
FIN055-000408,2024-08-08,P02,servicio,1508.95,PEN,2024-08-23,2024-08-27
FIN055-000409,2024-08-08,P01,alquiler,525.29,PEN,2024-08-23,2024-08-15
FIN055-000410,2024-08-09,P04,alquiler,1205.17,USD,2024-08-24,2024-08-24
FIN055-000411,2024-08-10,P02,alquiler,699.16,PEN,2024-08-25,
FIN055-000412,2024-08-10,P04,material,841.37,USD,2024-09-24,2024-09-23
FIN055-000413,2024-08-11,P07,servicio,189.63,PEN,2024-09-10,2024-08-29
FIN055-000414,2024-08-11,P12,alquiler,418.69,PEN,2024-08-26,2024-08-28
FIN055-000415,2024-08-12,P09,alquiler,343.37,USD,2024-08-27,2024-09-10
FIN055-000416,2024-08-12,P06,alquiler,,USD,2024-08-27,2024-08-23
FIN055-000417,2024-08-13,P11,material,572.19,USD,2024-09-12,2024-09-09
FIN055-000418,2024-08-13,P05,servicio,2144.27,PEN,2024-08-28,2024-08-16
FIN055-000419,2024-08-14,P08,material,201.52,PEN,2024-09-28,
FIN055-000420,2024-08-14,P03,servicio,646.81,PEN,2024-08-29,2024-09-28
FIN055-000421,2024-08-15,P05,alquiler,392.89,PEN,2024-09-14,2024-09-14
FIN055-000422,2024-08-15,P07,material,282.84,PEN,2024-09-29,2024-11-01
FIN055-000423,2024-08-16,P01,alquiler,"563,55",PEN,2024-08-31,2024-09-04
FIN055-000424,2024-08-17,P08,material,1109.34,USD,2024-09-16,2024-09-18
FIN055-000425,2024-08-17,P10,material,172.88,USD,2024-09-16,2024-10-20
FIN055-000426,2024-08-18,P02,servicio,533.02,PEN,2024-09-17,2024-09-27
FIN055-000427,2024-08-18,P10,alquiler,2696.98,USD,2024-09-02,2024-09-16
FIN055-000428,2024-08-19,P09,material,1121.41,PEN,2024-09-18,2024-09-10
FIN055-000429,2024-08-19,P11,alquiler,75.14,PEN,2024-09-03,2024-09-09
FIN055-000430,2024-08-20,P06,material,2058.74,PEN,2024-09-04,2024-09-11
FIN055-000431,2024-08-20,P09,servicio,1741.78,PEN,2024-09-04,2024-09-28
FIN055-000432,2024-08-21,P04,material,876.35,PEN,2024-09-05,2024-09-20
FIN055-000433,2024-08-21,P12,alquiler,1200.06,PEN,2024-10-05,2024-10-12
FIN055-000434,2024-08-22,P01,alquiler,1361.89,USD,2024-09-21,2024-10-20
FIN055-000435,2024-08-23,P10,alquiler,519.96,PEN,2024-09-22,2024-10-20
FIN055-000436,2024-08-23,P04,servicio,474.26,PEN,2024-10-07,2024-10-03
FIN055-000437,2024-08-24,P08,servicio,546.93,USD,2024-09-08,
FIN055-000438,2024-08-24,P09,servicio,420.23,PEN,2024-10-08,
FIN055-000439,2024-08-25,P12,material,4607.24,PEN,2024-10-09,2024-11-04
FIN055-000440,2024-08-25,P11,material,902.44,PEN,2024-10-09,2024-10-15
FIN055-000441,2024-08-26,P01,alquiler,343.78,USD,2024-09-25,2024-10-27
FIN055-000442,2024-08-26,P07,material,572.26,USD,2024-09-10,2024-09-13
FIN055-000443,2024-08-27,P02,servicio,340.12,PEN,2024-09-26,2024-10-28
FIN055-000444,2024-08-27,P03,alquiler,392.86,USD,2024-09-26,
FIN055-000445,2024-08-28,P09,material,187.45,USD,2024-10-12,
FIN055-000446,2024-08-28,P02,alquiler,268.69,PEN,2024-09-12,2024-10-04
FIN055-000447,2024-08-29,P07,alquiler,2545.51,USD,2024-09-28,2024-10-08
FIN055-000448,2024-08-30,P05,alquiler,395.96,USD,2024-09-29,2024-09-30
FIN055-000449,2024-08-30,P03,material,1862.52,PEN,2024-09-29,2024-10-06
FIN055-000450,2024-08-31,P10,alquiler,468.64,USD,2024-09-30,2024-09-30
FIN055-000451,2024-08-31,P10,material,283.73,USD,2024-09-15,2024-10-05
FIN055-000452,2024-09-01,P12,alquiler,819.72,USD,2024-10-01,2024-10-29
FIN055-000453,2024-09-01,P01,servicio,1145.76,PEN,2024-09-16,2024-09-21
FIN055-000454,2024-09-02,P04,servicio,393.15,PEN,2024-10-02,2024-11-04
FIN055-000455,2024-09-02,P03,servicio,144.39,PEN,2024-09-17,2024-10-08
FIN055-000456,2024-09-03,P04,servicio,954.45,USD,2024-10-18,2024-11-12
FIN055-000457,2024-09-03,P07,servicio,104.51,PEN,2024-10-03,
FIN055-000458,2024-09-04,P12,material,905.41,PEN,2024-09-19,2024-10-05
FIN055-000459,2024-09-04,P05,servicio,282.59,USD,2024-10-19,2024-11-17
FIN055-000460,2024-09-05,P01,alquiler,2639.64,PEN,2024-10-20,2024-10-12
FIN055-000461,2024-09-06,P05,material,452.79,PEN,2024-09-21,2024-09-10
FIN055-000462,2024-09-06,P09,alquiler,53.46,PEN,2024-09-21,2024-10-25
FIN055-000463,2024-09-07,P02,alquiler,2151.48,PEN,2024-09-22,2024-10-10
FIN055-000464,2024-09-07,P04,material,1175.8,PEN,2024-10-07,
FIN055-000465,2024-09-08,P10,alquiler,676.73,PEN,2024-09-23,2024-09-25
FIN055-000466,2024-09-08,P02,servicio,305.26,PEN,2024-10-08,2024-09-27
FIN055-000467,2024-09-09,P07,servicio,1111.14,PEN,2024-10-24,2024-10-12
FIN055-000468,2024-09-09,P04,servicio,822.61,USD,2024-10-24,
FIN055-000469,2024-09-10,P02,alquiler,421.22,PEN,2024-09-25,2024-10-22
FIN055-000470,2024-09-10,P08,material,739.28,PEN,2024-10-10,2024-10-23
FIN055-000471,2024-09-11,P10,servicio,473.75,USD,2024-10-11,2024-09-30
FIN055-000472,2024-09-12,P01,material,908.86,USD,2024-10-12,2024-10-19
FIN055-000473,2024-09-12,P05,alquiler,117.06,PEN,2024-10-27,2024-11-23
FIN055-000474,2024-09-13,P09,alquiler,2066.98,USD,2024-10-13,
FIN055-000475,2024-09-13,P01,alquiler,445.47,PEN,2024-09-28,2024-10-26
FIN055-000476,2024-09-14,P05,material,1044.76,PEN,2024-09-29,2024-09-21
FIN055-000477,2024-09-14,P04,servicio,262.31,USD,2024-10-29,
FIN055-000478,2024-09-15,P10,material,650.19,USD,2024-10-30,
FIN055-000479,2024-09-15,P01,material,448.69,PEN,2024-10-30,2024-11-03
FIN055-000480,2024-09-16,P11,material,1755.23,PEN,2024-10-01,2024-10-17
FIN055-000481,2024-09-16,P07,material,2194.11,PEN,2024-10-01,2024-09-24
FIN055-000482,2024-09-17,P07,material,711.33,PEN,2024-10-17,2024-10-07
FIN055-000483,2024-09-17,P05,alquiler,757.12,PEN,2024-10-17,2024-11-17
FIN055-000484,2024-09-18,P11,material,1298.1,PEN,2024-10-03,2024-10-31
FIN055-000485,2024-09-19,P08,alquiler,3012.23,PEN,2024-10-04,
FIN055-000486,2024-09-19,P09, SERVICIO ,2417.39,USD,2024-11-03,2024-10-28
FIN055-000487,2024-09-20,P05,alquiler,978.16,PEN,2024-10-20,2024-11-22
FIN055-000488,2024-09-20,P01,servicio,794.66,USD,2024-11-04,
FIN055-000489,2024-09-21,P06,material,5141.29,PEN,2024-10-21,2024-10-27
FIN055-000490,2024-09-21,P04,alquiler,1463.24,PEN,2024-11-05,2024-11-03
FIN055-000491,2024-09-22,P04,material,800.3,USD,2024-11-06,2024-11-09
FIN055-000492,2024-09-22,P09,alquiler,385.02,PEN,2024-11-06,2024-11-23
FIN055-000493,2024-09-23,P04,material,1739.64,PEN,2024-11-07,2024-11-24
FIN055-000494,2024-09-23,P07,alquiler,552.15,PEN,2024-11-07,2024-11-03
FIN055-000495,2024-09-24,P07,alquiler,727.76,PEN,2024-10-09,2024-11-02
FIN055-000496,2024-09-25,P01,material,758.82,PEN,2024-10-10,2024-10-18
FIN055-000497,2024-09-25,P10,alquiler,1557.47,PEN,2024-11-09,
FIN055-000498,2024-09-26,P09,material,207.92,PEN,2024-10-11,2024-10-16
FIN055-000499,2024-09-26,P02,alquiler,,USD,2024-11-10,2024-11-07
FIN055-000500,2024-09-27,P03,alquiler,360.85,USD,2024-10-27,2024-11-20
FIN055-000501,2024-09-27,P10,servicio,5859.35,PEN,2024-10-27,2024-10-25
FIN055-000502,2024-09-28,P08,servicio,2212.37,PEN,2024-10-13,
FIN055-000503,2024-09-28,P05,servicio,225.2,USD,2024-10-28,2024-11-02
FIN055-000504,2024-09-29,P12,alquiler,2018.74,PEN,2024-10-14,2024-11-05
FIN055-000505,2024-09-29,P04,material,2372.54,PEN,2024-11-13,2024-11-29
FIN055-000506,2024-09-30,P04,material,555.77,PEN,2024-11-14,2024-12-11
FIN055-000507,2024-09-30,P09,material,279.34,PEN,2024-10-30,2024-11-04
FIN055-000508,2024-10-01,P04,servicio,437.92,USD,2024-10-16,2024-10-20
FIN055-000509,2024-10-02,P05,alquiler,136.64,PEN,2024-11-16,2024-11-09
FIN055-000510,2024-10-02,P03,alquiler,1595.67,PEN,2024-10-17,
FIN055-000511,2024-10-03,P11,material,322.32,PEN,2024-11-02,2024-11-03
FIN055-000512,2024-10-03,P04,material,128.21,PEN,2024-11-17,2024-12-13
FIN055-000513,2024-10-04,P08,servicio,1099.1,PEN,2024-11-18,2024-12-09
FIN055-000514,2024-10-04,P10,material,1278.24,USD,2024-11-18,2024-11-14
FIN055-000515,2024-10-05,P02,servicio,118.62,PEN,2024-10-20,2024-11-02
FIN055-000516,2024-10-05,P01,alquiler,5333.25,PEN,2024-11-04,2024-12-05
FIN055-000517,2024-10-06,P05,servicio,834.12,PEN,2024-10-21,
FIN055-000518,2024-10-06,P03,servicio,265.27,PEN,2024-11-20,2024-12-22
FIN055-000519,2024-10-07,P10,material,313.71,PEN,2024-11-06,
FIN055-000520,2024-10-08,P01,servicio,995.44,PEN,2024-11-22,2024-12-20
FIN055-000521,2024-10-08,P08,material,263.9,USD,2024-11-07,2024-12-07
FIN055-000522,2024-10-09,P05,material,399.29,PEN,2024-10-24,2024-11-19
FIN055-000523,2024-10-09,P10,material,540.05,USD,2024-10-24,2024-11-14
FIN055-000524,2024-10-10,P03,alquiler,1445.53,PEN,2024-10-25,2024-11-28
FIN055-000525,2024-10-10,P05,servicio,352.49,PEN,2024-11-09,2024-11-17
FIN055-000526,2024-10-11,P01,material,1226.67,PEN,2024-10-26,2024-11-12
FIN055-000527,2024-10-11,P03,alquiler,3454.95,USD,2024-10-26,2024-11-04
FIN055-000528,2024-10-12,P10,servicio,1843.29,USD,2024-11-11,2024-11-11
FIN055-000529,2024-10-12,P06,material,313.46,PEN,2024-11-26,2024-12-20
FIN055-000530,2024-10-13,P06,alquiler,979.61,PEN,2024-10-28,2024-11-30
FIN055-000531,2024-10-13,P02,servicio,632.39,PEN,2024-11-12,
FIN055-000532,2024-10-14,P09,servicio,901.79,USD,2024-11-13,2024-11-23
FIN055-000533,2024-10-15,P10,material,751.81,PEN,2024-11-14,2024-11-10
FIN055-000534,2024-10-15,P04,alquiler,763.51,PEN,2024-10-30,2024-11-26
FIN055-000535,2024-10-16,P10,alquiler,659.31,USD,2024-11-15,2024-12-10
FIN055-000536,2024-10-16,P03,servicio,475.08,PEN,2024-11-30,
FIN055-000537,2024-10-17,P01,alquiler,668.0,PEN,2024-12-01,2024-12-29
FIN055-000538,2024-10-17,P02,material,1660.62,USD,2024-12-01,2025-01-02
FIN055-000539,2024-10-18,P08,servicio,151.91,USD,2024-11-02,2024-12-05
FIN055-000540,2024-10-18,P07,material,592.89,PEN,2024-12-02,2024-12-15
FIN055-000541,2024-10-19,P09,material,321.48,USD,2024-11-18,2024-12-06
FIN055-000542,2024-10-19,P05,material,330.19,USD,2024-11-03,
FIN055-000543,2024-10-20,P12,alquiler,4577.72,PEN,2024-11-04,2024-11-30
FIN055-000544,2024-10-21,P07,material,421.95,USD,2024-11-05,2024-10-24
FIN055-000545,2024-10-21,P12,servicio,1736.74,PEN,2024-11-05,2024-11-17
FIN055-000546,2024-10-22,P03,servicio,755.7,PEN,2024-11-21,
FIN055-000547,2024-10-22,P01,material,386.41,USD,2024-12-06,
FIN055-000548,2024-10-23,P02,alquiler,832.89,USD,2024-12-07,
FIN055-000549,2024-10-23,P05,alquiler,1340.58,PEN,2024-11-07,2024-11-19
FIN055-000550,2024-10-24,P09,alquiler,308.67,PEN,2024-11-08,2024-11-04
FIN055-000551,2024-10-24,P01,alquiler,3509.15,PEN,2024-11-23,2024-11-11
FIN055-000552,2024-10-25,P03,material,1118.86,USD,2024-11-09,
FIN055-000553,2024-10-25,P06,alquiler,1109.26,PEN,2024-11-09,
FIN055-000554,2024-10-26,P08,alquiler,1255.04,USD,2024-12-10,
FIN055-000555,2024-10-26,P09,material,1932.13,PEN,2024-12-10,2024-12-26
FIN055-000556,2024-10-27,P06,material,777.02,PEN,2024-12-11,2025-01-10
FIN055-000557,2024-10-28,P01,servicio,103.87,PEN,2024-11-27,2024-12-03
FIN055-000558,2024-10-28,P01,material,1239.92,USD,2024-11-27,2024-12-12
FIN055-000559,2024-10-29,P02,material,717.08,PEN,2024-11-13,2024-11-29
FIN055-000560,2024-10-29,P11,alquiler,841.41,PEN,2024-12-13,2025-01-15
FIN055-000561,2024-10-30,P03,alquiler,772.62,PEN,2024-11-14,
FIN055-000562,2024-10-30,P08,servicio,480.78,PEN,2024-11-14,
FIN055-000563,2024-10-31,P04,material,185.2,USD,2024-11-15,2024-12-20
FIN055-000564,2024-10-31,P08,alquiler,370.21,USD,2024-12-15,2025-01-07
FIN055-000565,2024-11-01,P06,material,232.31,PEN,2024-12-16,2024-12-27
FIN055-000566,2024-11-01,P09,servicio,1892.54,USD,2024-11-16,2024-11-13
FIN055-000567,2024-11-02,P11,alquiler,392.26,USD,2024-12-02,2024-12-27
FIN055-000568,2024-11-03,P12,alquiler,93.62,USD,2024-12-03,2024-11-27
FIN055-000569,2024-11-03,P01,material,292.45,PEN,2024-12-03,2024-12-15
FIN055-000570,2024-11-04,P07,servicio,1485.8,PEN,2024-12-04,2024-12-11
FIN055-000571,2024-11-04,P05,alquiler,771.74,PEN,2024-12-04,2024-11-25
FIN055-000572,2024-11-05,P11,alquiler,286.27,PEN,2024-11-20,2024-11-12
FIN055-000573,2024-11-05,P07,servicio,717.81,PEN,2024-11-20,2024-11-11
FIN055-000574,2024-11-06,P10,material,797.73,PEN,2024-11-21,
FIN055-000575,2024-11-06,P01,alquiler,522.53,PEN,2024-12-21,2024-12-30
FIN055-000576,2024-11-07,P09,material,1533.75,PEN,2024-12-22,2025-01-01
FIN055-000577,2024-11-07,P11,servicio,1561.01,PEN,2024-12-07,2024-12-16
FIN055-000578,2024-11-08,P07,servicio,109.43,PEN,2024-12-23,
FIN055-000579,2024-11-08,P04,servicio,720.46,USD,2024-11-23,2024-12-22
FIN055-000580,2024-11-09,P04,alquiler,4413.96,USD,2024-12-24,2025-01-12
FIN055-000581,2024-11-10,P12,servicio,602.13,USD,2024-12-10,2024-12-24
FIN055-000582,2024-11-10,P02,material,,PEN,2024-12-25,2025-01-10
FIN055-000583,2024-11-11,P11, SERVICIO ,1387.86,USD,2024-12-26,2024-12-21
FIN055-000584,2024-11-11,P07,servicio,430.68,USD,2024-11-26,2024-11-18
FIN055-000585,2024-11-12,P07,servicio,1362.09,USD,2024-12-27,2025-01-03
FIN055-000586,2024-11-12,P03,alquiler,721.73,USD,2024-12-27,2025-01-31
FIN055-000587,2024-11-13,P06,alquiler,2288.23,USD,2024-11-28,2024-12-10
FIN055-000588,2024-11-13,P07,alquiler,643.78,USD,2024-12-13,2024-12-06
FIN055-000589,2024-11-14,P11,material,328.73,PEN,2024-12-29,2024-12-30
FIN055-000590,2024-11-14,P11,material,906.33,PEN,2024-12-14,
FIN055-000591,2024-11-15,P04,material,1660.75,PEN,2024-11-30,
FIN055-000592,2024-11-16,P08,material,1006.55,USD,2024-12-01,2024-12-10
FIN055-000593,2024-11-16,P12,servicio,284.97,PEN,2024-12-31,2025-01-24
FIN055-000594,2024-11-17,P12,material,778.14,PEN,2024-12-17,
FIN055-000595,2024-11-17,P04,servicio,1955.02,USD,2024-12-02,2024-11-22
FIN055-000596,2024-11-18,P05,material,152.11,USD,2024-12-18,2024-12-20
FIN055-000597,2024-11-18,P07,servicio,1633.16,USD,2024-12-18,2025-01-06
FIN055-000598,2024-11-19,P11,servicio,658.13,PEN,2024-12-19,2025-01-21
FIN055-000599,2024-11-19,P01,alquiler,390.33,PEN,2025-01-03,
FIN055-000600,2024-11-20,P06,material,684.28,USD,2024-12-20,2024-12-13
FIN055-000601,2024-11-20,P05,material,548.29,PEN,2025-01-04,2025-02-08
FIN055-000602,2024-11-21,P09,alquiler,246.14,PEN,2025-01-05,2024-12-31
FIN055-000603,2024-11-21,P01,servicio,1005.68,USD,2024-12-06,2024-12-16
FIN055-000604,2024-11-22,P09,material,660.73,PEN,2025-01-06,2025-01-27
FIN055-000605,2024-11-23,P05,servicio,1513.46,PEN,2024-12-23,2025-01-02
FIN055-000606,2024-11-23,P07,servicio,434.19,USD,2024-12-23,2024-12-21
FIN055-000607,2024-11-24,P11,alquiler,281.7,PEN,2024-12-09,2024-12-11
FIN055-000608,2024-11-24,P02,servicio,1381.96,PEN,2024-12-09,2024-11-30
FIN055-000609,2024-11-25,P04,alquiler,880.1,PEN,2024-12-10,2024-12-07
FIN055-000610,2024-11-25,P01,servicio,1770.54,USD,2024-12-10,2024-12-31
FIN055-000611,2024-11-26,P02,alquiler,773.77,USD,2025-01-10,2025-01-07
FIN055-000612,2024-11-26,P11,material,708.45,PEN,2024-12-26,2024-12-28
FIN055-000613,2024-11-27,P08,servicio,63.41,USD,2024-12-27,2025-01-12
FIN055-000614,2024-11-27,P11,alquiler,797.77,PEN,2024-12-12,
FIN055-000615,2024-11-28,P05,material,157.53,PEN,2025-01-12,2025-02-12
FIN055-000616,2024-11-29,P12,alquiler,1186.39,PEN,2025-01-13,2025-02-02
FIN055-000617,2024-11-29,P08,servicio,412.23,PEN,2024-12-14,
FIN055-000618,2024-11-30,P02,servicio,235.33,PEN,2024-12-30,2025-01-03
FIN055-000619,2024-11-30,P01,alquiler,2170.97,USD,2025-01-14,2025-02-09
FIN055-000620,2024-12-01,P12,material,793.27,PEN,2024-12-16,2025-01-04
FIN055-000621,2024-12-01,P08,material,2596.9,PEN,2024-12-16,2024-12-25
FIN055-000622,2024-12-02,P06,servicio,1311.0,PEN,2025-01-01,2025-01-26
FIN055-000623,2024-12-02,P09,material,196.79,USD,2024-12-17,
FIN055-000624,2024-12-03,P02,alquiler,572.79,PEN,2025-01-17,2025-01-24
FIN055-000625,2024-12-03,P11,alquiler,392.53,PEN,2025-01-17,2025-02-19
FIN055-000626,2024-12-04,P03,alquiler,3620.59,USD,2025-01-18,2025-02-14
FIN055-000627,2024-12-04,P03,servicio,725.11,USD,2025-01-18,2025-02-17
FIN055-000628,2024-12-05,P08,material,3100.89,PEN,2025-01-04,2025-01-25
FIN055-000629,2024-12-06,P06,alquiler,463.36,PEN,2024-12-21,2024-12-17
FIN055-000630,2024-12-06,P07,alquiler,2239.45,USD,2025-01-20,2025-02-11
FIN055-000631,2024-12-07,P04,material,91.95,PEN,2025-01-06,2025-01-02
FIN055-000632,2024-12-07,P02,alquiler,1818.7,PEN,2025-01-21,2025-01-16
FIN055-000633,2024-12-08,P07,alquiler,178.63,USD,2025-01-07,2025-01-01
FIN055-000634,2024-12-08,P03,servicio,"1701,3",PEN,2025-01-07,2025-02-08
FIN055-000635,2024-12-09,P02,servicio,2534.09,PEN,2025-01-08,2025-01-02
FIN055-000636,2024-12-09,P12,servicio,162.13,PEN,2025-01-08,
FIN055-000637,2024-12-10,P12,alquiler,709.17,PEN,2024-12-25,2025-01-29
FIN055-000638,2024-12-10,P09,servicio,390.59,PEN,2025-01-24,2025-02-11
FIN055-000639,2024-12-11,P07,material,5273.47,PEN,2025-01-25,2025-02-19
FIN055-000640,2024-12-12,P09,material,122.1,USD,2025-01-26,2025-02-12
FIN055-000641,2024-12-12,P03,material,150.27,PEN,2024-12-27,2025-01-28
FIN055-000642,2024-12-13,P05,material,266.99,PEN,2025-01-12,2025-01-26
FIN055-000643,2024-12-13,P05,alquiler,853.68,USD,2025-01-27,2025-02-24
FIN055-000644,2024-12-14,P04,material,1548.97,USD,2025-01-13,2025-01-20
FIN055-000645,2024-12-14,P06,material,282.9,PEN,2024-12-29,2025-01-28
FIN055-000646,2024-12-15,P03,material,368.26,USD,2024-12-30,2024-12-18
FIN055-000647,2024-12-15,P08,material,650.15,USD,2024-12-30,
FIN055-000648,2024-12-16,P08,servicio,104.64,USD,2024-12-31,2025-01-25
FIN055-000649,2024-12-16,P04,material,738.97,USD,2024-12-31,2025-01-16
FIN055-000650,2024-12-17,P02,material,184.43,USD,2025-01-01,2025-01-05
FIN055-000651,2024-12-17,P07,servicio,492.05,USD,2025-01-31,2025-02-06
FIN055-000652,2024-12-18,P12,alquiler,6079.3,PEN,2025-01-02,2025-01-20
FIN055-000653,2024-12-19,P12,alquiler,207.62,PEN,2025-01-18,2025-02-08
FIN055-000654,2024-12-19,P12,alquiler,2861.43,PEN,2025-01-03,
FIN055-000655,2024-12-20,P09,alquiler,538.97,PEN,2025-02-03,2025-02-25
